,player_name,team_abbreviation,age,player_height,player_weight,season
0,Travis Knight,LAL,22,213.36,106.59412,1996-97
1,Matt Fish,MIA,27,210.82,106.59412,1996-97
2,Matt Bullard,HOU,30,208.28,106.59412,1996-97
3,Marty Conlon,BOS,29,210.82,111.13004,1996-97
4,Martin Muursepp,DAL,22,205.74,106.59412,1996-97
5,Martin Lewis,TOR,22,198.12,102.0582,1996-97
6,Mark West,CLE,36,208.28,111.583632,1996-97
7,Mark Strickland,MIA,26,208.28,99.79024,1996-97
8,Mark Price,GSW,33,182.88,81.64656,1996-97
9,Mark Jackson,IND,32,190.5,83.91452,1996-97
10,Mark Hendrickson,PHI,23,205.74,99.79024,1996-97
11,Mark Davis,PHI,24,200.66,95.25432,1996-97
12,Mark Bryant,PHX,32,205.74,111.13004,1996-97
13,Mark Bradtke,PHI,28,208.28,120.20188,1996-97
14,Mario Elie,HOU,33,195.58,95.25432,1996-97
15,Marcus Camby,TOR,23,210.82,99.79024,1996-97
16,Marcus Brown,POR,23,190.5,83.91452,1996-97
17,Malik Sealy,LAC,27,203.2,90.7184,1996-97
18,Malik Rose,CHH,22,200.66,113.398,1996-97
19,Mahmoud Abdul-Rauf,SAC,28,185.42,73.481904,1996-97
20,Lucious Harris,PHI,26,195.58,92.98636,1996-97
21,Luc Longley,CHI,28,218.44,132.448864,1996-97
22,Loy Vaught,LAC,29,205.74,108.86208,1996-97
23,Lou Roe,GSW,24,200.66,99.79024,1996-97
24,Matt Geiger,CHH,27,215.9,111.13004,1996-97
25,Matt Maloney,HOU,25,190.5,90.7184,1996-97
26,Matt Steigenga,CHI,27,200.66,102.0582,1996-97
27,Melvin Booker,GSW,24,187.96,83.91452,1996-97
28,Pervis Ellison,BOS,30,205.74,95.25432,1996-97
29,Patrick Ewing,NYK,34,213.36,108.86208,1996-97
30,P.J. Brown,MIA,27,210.82,108.86208,1996-97
31,Otis Thorpe,DET,34,208.28,111.583632,1996-97
32,Othella Harrington,HOU,23,205.74,106.59412,1996-97
33,Oliver Miller,TOR,27,205.74,140.61352,1996-97
34,Olden Polynice,SAC,32,213.36,113.398,1996-97
35,Nick Van Exel,LAL,25,185.42,83.007336,1996-97
36,Nick Anderson,ORL,29,198.12,103.418976,1996-97
37,Nate McMillan,SEA,32,195.58,90.7184,1996-97
38,Nate Driggers,BOS,23,195.58,97.52228,1996-97
39,Lorenzo Williams,WAS,27,205.74,104.32616,1996-97
40,Muggsy Bogues,CHH,32,160.02,63.956472,1996-97
41,Moochie Norris,VAN,23,187.96,85.275296,1996-97
42,Monty Williams,SAS,25,203.2,102.0582,1996-97
43,Mitchell Butler,POR,26,195.58,95.25432,1996-97
44,Mitch Richmond,SAC,32,195.58,97.52228,1996-97
45,Mike Brown,PHX,33,208.28,117.93392,1996-97
46,Michael Smith,SAC,25,203.2,104.32616,1996-97
47,Michael Jordan,CHI,34,198.12,97.975872,1996-97
48,Michael Hawkins,BOS,24,182.88,80.739376,1996-97
49,Michael Finley,DAL,24,200.66,97.52228,1996-97
50,Michael Curry,DET,28,195.58,95.25432,1996-97
51,Michael Cage,PHI,35,205.74,112.490816,1996-97
52,Mookie Blaylock,ATL,30,185.42,83.91452,1996-97
53,Pooh Richardson,LAC,31,185.42,81.64656,1996-97
54,Lorenzen Wright,LAC,21,210.82,108.86208,1996-97
55,Lloyd Daniels,NJN,29,200.66,92.98636,1996-97
56,Keith Askins,MIA,29,203.2,101.604608,1996-97
57,Karl Malone,UTA,33,205.74,116.119552,1996-97
58,Juwan Howard,WAS,24,205.74,113.398,1996-97
59,Jud Buechler,CHI,29,198.12,103.418976,1996-97
60,Jon Barry,ATL,27,195.58,92.98636,1996-97
61,Johnny Newman,MIL,33,200.66,90.7184,1996-97
62,John Wallace,NYK,23,205.74,102.0582,1996-97
63,John Stockton,UTA,35,185.42,79.3786,1996-97
64,John Starks,NYK,31,195.58,83.91452,1996-97
65,John Long,TOR,40,195.58,90.7184,1996-97
66,John Crotty,MIA,27,187.96,83.91452,1996-97
67,Joe Wolf,MIL,32,210.82,117.93392,1996-97
68,Joe Stephens,HOU,24,200.66,95.25432,1996-97
69,Joe Smith,GSW,21,208.28,102.0582,1996-97
70,Joe Kleine,NJN,35,213.36,122.923432,1996-97
71,Joe Dumars,DET,34,190.5,88.45044,1996-97
72,Joe Courtney,SAS,27,203.2,106.59412,1996-97
73,Jimmy Oliver,TOR,27,195.58,92.98636,1996-97
74,Jimmy King,DEN,23,195.58,95.25432,1996-97
75,Jimmy Carruth,MIL,27,208.28,120.20188,1996-97
76,Jim McIlvaine,SEA,24,215.9,117.93392,1996-97
